grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
sohjuniromesmo,0.16666666666666666,0.16666666666666666,0.25,0.25,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0
soilrm,0.2,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666
someb0dysaveme,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2
sophievenusiana,0.08,0.12,0.16,0.36,0.16,0.04,0.08,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.0,0.2222222222222222
sosmermaid,0.3,0.2,0.1,0.2,0.0,0.1,0.1,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
souprincipessa,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.0,0.15789473684210525,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.0,0.0,0.09090909090909091
sousacardosoj,0.14659685863874344,0.08900523560209424,0.2513089005235602,0.2670157068062827,0.05235602094240838,0.07329842931937172,0.12041884816753927,0.13385826771653545,0.10236220472440945,0.16535433070866143,0.3700787401574803,0.03937007874015748,0.08661417322834646,0.10236220472440945
soveronicamesmo,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.13043478260869565,0.08695652173913043,0.17391304347826086,0.34782608695652173,0.0,0.043478260869565216,0.21739130434782608
spowderbatgurl,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091
srgdnz,0.1,0.0,0.4,0.2,0.1,0.1,0.1,0.2,0.4,0.0,0.4,0.0,0.0,0.0
